,zn,E_HFB,E_PNP,E_PNPAMP
105,"[98, 130]",1683.43911158,1685.24671749,1690.06311427
106,"[96, 166]",1881.98659899,1883.65384936,1886.40759747
107,"[32, 60]",725.45807993,727.03270484,729.91388688
108,"[26, 46]",585.9081497,586.68550082,589.12399775
109,"[82, 106]",1459.37000277,1459.96503258,1462.91452859
110,"[86, 130]",1657.96269232,1659.10491301,1661.41033007
111,"[52, 126]",1168.80460103,1169.58047558,1171.5538526
112,"[44, 42]",698.42897013,699.80568024,701.84873907
113,"[74, 186]",1566.75874547,1568.60687329,1570.27101302
114,"[20, 30]",426.77880589,426.86852225,429.09570738
115,"[108, 162]",1937.43385291,1937.43385661,1940.40990676
116,"[44, 40]",668.0199067,669.68554266,671.16958651
117,"[56, 62]",967.30540104,968.63028028,971.62446098
118,"[74, 130]",1549.55760376,1551.44887943,1553.60458129
119,"[54, 118]",1208.90105378,1210.26127045,1212.78050868
120,"[70, 110]",1428.72914624,1429.23551014,1432.51149068
121,"[24, 26]",433.69488686,434.29779563,436.85275227
122,"[60, 134]",1325.53601321,1327.4427309,1329.60187716
123,"[54, 120]",1209.62098667,1211.05665615,1213.47179525
124,"[48, 50]",823.68659473,824.23068516,826.45761295
125,"[34, 80]",779.49825612,781.15042288,783.29436542
126,"[44, 50]",807.7032346,808.49548547,810.52625351
127,"[56, 76]",1104.26289179,1105.37882774,1107.32279152
128,"[104, 188]",2017.02290267,2019.05539552,2021.38256265
129,"[48, 60]",920.57717877,921.35491701,923.87633736
130,"[20, 26]",399.8807425,399.93104009,402.13028316
131,"[66, 96]",1313.09452769,1313.91680251,1316.76163897
132,"[98, 194]",1965.80760615,1967.46386471,1972.65093024
133,"[30, 66]",687.53051806,688.39679421,691.3624768
134,"[82, 154]",1702.01192353,1703.64730994,1706.15307706
135,"[60, 96]",1260.93893601,1261.69096211,1264.60554785
136,"[72, 140]",1538.55618117,1540.11729195,1542.48392276
137,"[56, 86]",1172.6231979,1173.03446861,1176.4114311
138,"[88, 170]",1810.29818659,1811.15036062,1813.5191361
139,"[90, 120]",1594.7965897,1596.60952048,1599.21324318
140,"[82, 126]",1625.56424404,1625.56424404,1627.50874467
141,"[46, 98]",1042.02302918,1043.32309459,1046.0100897
142,"[52, 56]",895.51814694,896.49073223,898.72806919
143,"[30, 60]",686.95492477,688.00899764,690.72130713
144,"[98, 140]",1761.8130486,1762.52993102,1764.99061935
145,"[36, 42]",671.40836725,673.03701073,675.72323667
146,"[110, 178]",2026.53057647,2027.81217115,2030.26015262
147,"[102, 164]",1918.49190025,1919.90557768,1922.63331614
148,"[34, 38]",618.80153123,619.88590218,622.37125409
149,"[78, 184]",1660.68589337,1661.7821156,1663.78824952
150,"[18, 42]",403.47381855,404.88757348,407.04279397
151,"[80, 100]",1399.80170697,1401.5847184,1404.34541347
152,"[70, 152]",1514.79859199,1516.19079178,1518.83380435
153,"[16, 22]",318.91990047,319.6091043,322.37546527
154,"[92, 138]",1730.6602135,1731.3262642,1733.87086763
155,"[80, 132]",1624.34956291,1625.58675108,1627.63053875
156,"[80, 130]",1618.82219272,1619.94582137,1621.85585625
