,zn,E_HFB,E_PNP,E_PNPAMP
457,"[94, 196]",1913.5531123,1915.32197452,1917.40261261
458,"[64, 150]",1395.60918416,1397.21899743,1399.75123321
459,"[20, 22]",363.98106837,363.97887108,365.55169402
460,"[24, 32]",485.97902972,486.98408572,489.21324286
461,"[28, 32]",524.12713449,525.21794514,528.17075305
462,"[76, 84]",1236.71692944,1238.32981104,1240.75078172
463,"[88, 158]",1781.74108056,1783.53470147,1785.9966678
464,"[90, 116]",1557.85245762,1559.55912589,1561.98118826
465,"[88, 112]",1519.14533895,1520.50010555,1522.91401226
466,"[38, 66]",844.80598965,845.54245794,848.32867561
467,"[54, 100]",1192.40019778,1194.10436449,1196.76361162
468,"[30, 64]",687.65712529,688.70092445,691.58823516
469,"[36, 84]",826.93320515,828.27815556,830.72224463
470,"[100, 160]",1888.64683006,1890.08724546,1892.68250408
471,"[56, 112]",1244.2007901,1244.95719263,1247.65459016
472,"[50, 54]",872.80503709,873.30989909,875.93844243
473,"[70, 80]",1189.72049576,1191.24403655,1193.85316665
474,"[92, 120]",1595.28520972,1597.13117297,1599.78634205
475,"[78, 96]",1358.92056125,1360.55684901,1363.25490807
476,"[26, 34]",522.54753452,523.51677862,526.18399316
477,"[100, 142]",1780.33578203,1781.74867068,1784.60463979
478,"[92, 144]",1762.37830722,1763.54826925,1765.76177386
479,"[110, 154]",1881.49288892,1882.72437167,1885.45554137
480,"[80, 112]",1505.32757754,1505.96507199,1509.06375106
481,"[110, 162]",1941.26216416,1941.68583442,1944.54539618
482,"[18, 26]",371.81581578,372.63900007,375.07911553
483,"[86, 162]",1768.45000931,1770.09896433,1772.68780553
484,"[28, 26]",452.48249566,452.52306349,455.98338415
485,"[64, 128]",1403.57404637,1405.31986902,1407.18698599
486,"[102, 192]",2007.99376521,2009.79897595,2014.16276771
487,"[88, 174]",1818.28123389,1819.58590899,1821.87702605
488,"[98, 134]",1715.55368698,1717.13704083,1719.76111801
489,"[70, 176]",1488.83908538,1490.72338543,1493.16707768
490,"[100, 196]",1990.97979757,1992.66305732,1995.88605384
491,"[104, 180]",1996.02750684,1997.78147618,2000.10337952
492,"[30, 54]",680.5894318,681.28072152,683.61156482
493,"[84, 158]",1735.42980693,1737.3203763,1739.78369122
494,"[72, 136]",1532.76365067,1534.43538483,1536.57186358
495,"[70, 108]",1418.06666724,1418.64824927,1421.98952866
496,"[68, 78]",1164.58652642,1166.03477085,1168.64950321
497,"[56, 66]",1011.33497203,1012.46218585,1015.5861914
498,"[98, 136]",1731.52158895,1733.22475904,1735.6871092
499,"[86, 136]",1685.27256742,1686.26208923,1688.69334335
500,"[102, 136]",1732.48435407,1733.79393968,1736.89076143
501,"[26, 56]",600.13076175,601.51433564,603.58412583
502,"[10, 8]",134.13283577,134.22240671,135.21633288
503,"[50, 76]",1060.37756009,1060.65840053,1062.97247867
504,"[72, 134]",1529.73119001,1531.57500387,1533.66384928
505,"[68, 126]",1464.47318424,1465.91336885,1467.83291095
506,"[46, 102]",1040.70049133,1042.14959521,1044.82543028
507,"[68, 98]",1340.45167335,1341.59984716,1344.48176154
508,"[68, 84]",1227.54279345,1229.44168598,1231.99559549
509,"[62, 108]",1327.7973328,1329.33907893,1332.27810691
510,"[94, 140]",1750.43525644,1750.97304635,1753.48693204
511,"[54, 76]",1090.834478,1092.17282095,1094.682037
512,"[48, 120]",1073.16360266,1074.11072877,1076.18183774
513,"[102, 198]",2015.13099815,2016.84544277,2019.51073507
514,"[30, 44]",636.19740959,636.93582741,639.45004615
515,"[44, 62]",900.83869164,902.40955391,905.3474352
516,"[70, 104]",1395.02000306,1395.7777566,1398.86586395
517,"[54, 124]",1211.59259578,1213.16688594,1215.4481472
518,"[70, 106]",1406.9207057,1407.53377198,1410.68385089
519,"[46, 64]",934.53394598,935.38128322,937.97834768
520,"[54, 128]",1208.75757162,1210.19373714,1212.221254
521,"[96, 140]",1756.51718265,1757.7392636,1760.72903418
522,"[106, 160]",1918.1006611,1918.953105,1921.63537273
523,"[94, 148]",1794.80121431,1796.09187236,1798.44048931
524,"[48, 76]",1034.431869,1035.29407235,1037.22639489
525,"[66, 150]",1437.70749813,1439.20747234,1441.7222495
526,"[86, 182]",1803.89157249,1805.28115171,1806.85327412
527,"[68, 114]",1423.8108065,1424.7873535,1427.820058
528,"[110, 182]",2044.01668794,2045.48262206,2047.79939865
529,"[84, 120]",1585.17872401,1586.1906358,1588.55216101
530,"[68, 92]",1294.8469473,1296.06600565,1298.76488951
531,"[110, 158]",1912.20679374,1913.19811186,1916.07890547
532,"[72, 166]",1546.73037105,1547.49359468,1550.25898002
533,"[92, 158]",1820.83755167,1822.54055509,1825.03431918
534,"[100, 158]",1879.18669966,1880.69446244,1883.21904956
535,"[80, 170]",1694.73998624,1695.3523949,1698.04667406
536,"[26, 44]",577.88867905,578.61082263,581.20788345
537,"[48, 52]",844.43973846,845.44683082,847.92739918
538,"[92, 196]",1885.44007645,1887.09862393,1889.1489641
539,"[64, 76]",1135.00469711,1136.71397536,1139.5255959
540,"[36, 68]",814.06173846,815.56836393,818.43857285
541,"[72, 88]",1274.10564724,1276.0481589,1278.26208324
542,"[12, 12]",193.93228165,193.96694469,195.9837064
543,"[76, 170]",1622.41266914,1623.3497338,1626.01349463
544,"[78, 112]",1494.36557529,1495.6458817,1498.46640232
545,"[54, 82]",1137.01846951,1138.14113382,1140.24101736
546,"[72, 168]",1544.5724992,1545.62784704,1548.25749848
547,"[86, 188]",1801.66712271,1803.07373874,1804.61077551
548,"[102, 162]",1910.31772245,1911.13060071,1913.8703568
549,"[48, 114]",1078.8098596,1079.6258457,1082.22143746
550,"[16, 12]",207.96184782,208.40838771,211.45533258
551,"[34, 54]",742.37640489,743.28975063,745.67342011
552,"[82, 140]",1667.73189998,1668.38602806,1671.00444142
553,"[64, 116]",1376.80660138,1378.5999758,1381.8183228
554,"[30, 32]",534.52151017,534.99149906,538.0428002
555,"[88, 184]",1835.74368372,1836.76996917,1838.69099944
556,"[62, 114]",1344.05281856,1345.74331796,1348.87577378
557,"[48, 86]",1074.34440136,1075.47346397,1077.48216206
558,"[76, 178]",1619.32463029,1621.11468877,1623.4719603
559,"[80, 186]",1699.05538516,1700.22988578,1701.38356607
560,"[80, 94]",1340.45608368,1341.61386681,1343.9497791
561,"[88, 128]",1654.80280483,1656.41178259,1658.82358708
562,"[108, 188]",2048.60233318,2050.71929262,2053.0165411
563,"[88, 178]",1826.04819984,1827.7704475,1829.76162836
564,"[100, 136]",1732.51637998,1734.36135456,1736.8476635
565,"[46, 60]",905.55538121,906.52849619,908.44918191
566,"[106, 156]",1892.4689034,1893.44927487,1896.15421638
567,"[34, 58]",756.67607477,757.716627,760.47706623
568,"[80, 168]",1692.89168294,1693.51229188,1696.3415816
569,"[20, 34]",442.63088854,443.41625381,444.39714165
570,"[76, 112]",1483.96937326,1484.76376672,1487.91353504
571,"[72, 84]",1235.15413197,1236.98598039,1239.39851843
572,"[82, 174]",1733.10591848,1733.66873353,1735.98221972
573,"[94, 154]",1821.63031236,1823.0566852,1825.59699378
574,"[56, 96]",1211.05513234,1212.26407243,1215.09351544
575,"[104, 142]",1784.35192246,1785.03522006,1787.57897643
576,"[12, 24]",257.53664193,258.14103277,260.82992912
577,"[84, 124]",1617.78013,1619.02746183,1621.04504623
578,"[50, 48]",796.98736176,797.19335189,799.50386419
579,"[16, 28]",348.25364634,348.77538828,352.05913277
580,"[64, 104]",1338.88935996,1340.40387035,1343.30809466
581,"[72, 104]",1406.5630545,1408.11334014,1411.10266014
582,"[76, 110]",1470.25107756,1470.8843337,1474.2132134
583,"[78, 180]",1660.23719134,1661.75219964,1663.9501449
584,"[100, 192]",1987.33161008,1989.08255416,1993.30185693
585,"[14, 28]",308.95765151,308.95765016,312.89898496
586,"[66, 84]",1221.39704913,1223.29899504,1225.88070815
587,"[94, 180]",1904.26740988,1905.84343406,1908.1071976
588,"[16, 30]",353.72800697,354.25093443,357.66402588
589,"[12, 16]",228.90796101,228.96886382,232.45404885
590,"[50, 108]",1126.43649701,1127.19025405,1129.7352788
591,"[86, 142]",1709.61724583,1710.70302286,1713.24951283
592,"[82, 96]",1362.21207715,1362.83130347,1365.74511302
593,"[88, 172]",1814.42087153,1815.56322532,1817.58659459
594,"[82, 136]",1657.13580515,1657.90279148,1659.94684952
595,"[56, 126]",1255.59787112,1256.74658637,1258.91680662
596,"[48, 66]",967.89926845,968.49358552,971.10686232
597,"[56, 116]",1247.17205476,1248.5198719,1251.02981051
598,"[82, 178]",1738.06573807,1738.68772493,1740.66031444
599,"[16, 16]",267.5076118,267.50761171,271.38844238
600,"[108, 178]",2015.48515535,2016.80422364,2019.20898688
601,"[70, 94]",1320.0448323,1321.29668214,1324.12803495
602,"[62, 138]",1361.71500859,1363.43779519,1365.82794992
603,"[20, 38]",452.64611842,453.30320083,454.35505662
604,"[64, 80]",1178.19794062,1180.10310833,1182.63628371
605,"[50, 88]",1111.24615786,1111.78270261,1113.87407395
606,"[78, 138]",1615.62599663,1617.09232267,1619.45376621
607,"[80, 98]",1380.38449772,1381.66827408,1384.46341079
608,"[48, 72]",1009.3337672,1009.92736827,1012.39338528
609,"[50, 46]",763.79274837,763.93516636,766.30835741
610,"[100, 182]",1970.0535123,1971.85595848,1973.9667313
611,"[66, 130]",1435.74718716,1437.61943991,1439.92428941
612,"[32, 32]",540.63521838,541.73229638,544.994138
613,"[58, 90]",1209.72858223,1210.8626318,1213.16148953
614,"[110, 184]",2052.58113317,2054.16977246,2056.21221294
615,"[108, 154]",1881.97823957,1882.52719048,1885.32657056
616,"[78, 90]",1299.41313994,1300.96500036,1303.44497931
617,"[52, 64]",976.164618,977.16708801,980.07411997
618,"[98, 154]",1848.2562396,1849.36021143,1851.75878157
619,"[92, 136]",1718.59722404,1719.19802714,1721.79542211
620,"[76, 114]",1496.7098804,1497.28600981,1500.49117504
621,"[88, 120]",1592.95296603,1594.62990942,1597.24794406
622,"[42, 40]",668.59913149,670.00247003,671.812003
623,"[24, 52]",552.98118011,554.29365359,556.31850229
624,"[88, 198]",1822.34646767,1823.47617754,1825.36695135
625,"[50, 90]",1114.02340562,1115.21662207,1116.96743855
626,"[92, 180]",1881.45854111,1882.85372626,1885.15957253
627,"[46, 68]",960.95364698,961.73473767,964.66526532
628,"[36, 50]",746.60489421,747.74761477,750.41270824
629,"[58, 112]",1278.17095037,1279.77674717,1282.79764998
630,"[84, 112]",1515.97416661,1516.71451587,1519.43035671
631,"[92, 176]",1871.33954015,1873.07707863,1875.52771039
632,"[50, 60]",932.00819635,932.62715346,935.87683666
633,"[54, 88]",1160.35658938,1161.3319127,1164.72709262
634,"[106, 154]",1879.01891184,1879.97928191,1882.65052551
635,"[30, 38]",590.9207263,592.87507582,595.68987095
636,"[94, 174]",1887.79516157,1889.64501944,1892.07815781
637,"[74, 88]",1277.39647372,1279.20818129,1281.364923
638,"[88, 164]",1797.11412309,1798.54671893,1801.09989849
639,"[88, 160]",1787.19927812,1788.87772269,1791.35610469
640,"[100, 140]",1764.74418592,1766.21347225,1768.69902274
641,"[80, 140]",1643.92925946,1645.16371585,1647.58802371
642,"[14, 26]",303.01087952,303.64801601,307.42885155
643,"[44, 76]",975.50961535,977.02620754,979.11766193
644,"[52, 66]",994.45196585,995.70525603,998.53037365
645,"[76, 174]",1620.87318021,1622.36217246,1624.83961529
646,"[76, 156]",1619.19768122,1620.81415355,1623.37577004
647,"[78, 144]",1629.55549255,1631.20208464,1633.5536754
648,"[102, 146]",1814.52561123,1815.23088679,1818.05259061
649,"[52, 88]",1136.50949668,1137.38026444,1139.49941614
650,"[70, 186]",1471.26730913,1473.24109195,1475.11742659
651,"[88, 190]",1829.90920231,1831.52378135,1833.54942953
652,"[86, 148]",1731.19972255,1732.69451862,1735.10130365
653,"[62, 122]",1360.12115563,1361.8197601,1364.56899591
654,"[48, 68]",982.29505345,982.88277411,985.57214984
655,"[90, 126]",1649.4244808,1650.7341598,1652.88376086
656,"[26, 38]",547.65801847,548.94715448,551.57078626
657,"[78, 118]",1536.73218123,1537.93561647,1540.71956336
658,"[46, 56]",873.3646093,874.56492942,876.41542634
659,"[80, 146]",1659.16006111,1661.03006177,1663.41072343
660,"[92, 118]",1576.61709084,1578.41856994,1580.97091119
661,"[104, 140]",1767.14026806,1767.81622339,1770.36909409
662,"[84, 134]",1664.26097924,1664.92692816,1667.0322004
663,"[60, 100]",1277.80930414,1278.61249218,1281.37690043
664,"[102, 186]",1996.9200142,1998.83521626,2000.64368048
665,"[40, 66]",874.67586459,876.11780546,879.00178764
666,"[22, 50]",505.15780096,505.91618515,508.01537084
667,"[90, 150]",1774.46137852,1776.16210878,1778.56082228
668,"[56, 94]",1204.27578804,1205.60486925,1208.37864076
669,"[56, 58]",919.88785664,920.49268881,923.24318565
670,"[110, 190]",2068.24334134,2069.95724351,2072.31132481
671,"[46, 50]",816.55272914,817.27118393,819.39608886
672,"[10, 18]",205.64333384,206.43440034,208.75864941
673,"[62, 142]",1360.22585715,1361.85245587,1364.23760523
674,"[16, 20]",306.81580912,307.63920503,309.90062376
675,"[36, 36]",602.78348136,603.48234488,606.28305553
676,"[72, 146]",1546.15627093,1547.93663954,1550.36991603
677,"[96, 178]",1920.13758915,1921.89808655,1923.7735804
678,"[80, 174]",1697.8234795,1698.44476537,1701.07648169
679,"[76, 140]",1594.75669027,1596.27786689,1598.70292075
680,"[110, 170]",1985.63645472,1986.82397909,1989.92474187
681,"[78, 136]",1611.11532161,1612.66563484,1614.98273729
682,"[74, 108]",1444.88723756,1446.13660174,1449.38236617
683,"[72, 174]",1536.610973,1538.35687387,1540.90667681
684,"[68, 76]",1140.73416538,1141.99929596,1144.48011814
685,"[12, 18]",239.0154746,240.25878045,242.6825091
686,"[100, 180]",1963.48301245,1965.23770808,1967.51444871
687,"[96, 162]",1868.75903417,1870.29647457,1872.89374542
688,"[42, 46]",748.67753329,749.94516604,752.35401603
689,"[78, 120]",1549.70836376,1550.84134023,1553.68570223
690,"[72, 162]",1550.06721112,1550.76047791,1553.52464636
691,"[14, 30]",309.67642715,310.1459981,313.87354865
692,"[52, 122]",1167.76621684,1169.12570723,1171.64476256
693,"[44, 94]",999.69906777,1001.31854591,1003.59019663
694,"[104, 158]",1899.01370542,1899.59281423,1902.21218663
695,"[70, 164]",1507.85842385,1508.96176419,1511.74725481
696,"[16, 32]",356.49432074,357.70773804,360.43718054
697,"[70, 116]",1453.19349808,1453.94442167,1457.07423642
698,"[64, 132]",1402.02654263,1404.04853669,1406.446501
699,"[106, 168]",1958.29483636,1959.54168566,1962.40525822
700,"[84, 174]",1763.15506505,1764.07364836,1766.31185218
701,"[96, 182]",1931.04038772,1932.71859597,1934.82414774
702,"[34, 68]",775.94541292,776.86364947,779.73310296
703,"[32, 28]",485.06868466,485.833912,489.31435517
704,"[108, 160]",1924.27428261,1924.67598404,1927.56002876
705,"[102, 170]",1942.00473546,1943.75046238,1946.74303039
706,"[84, 176]",1766.0870729,1767.22189763,1769.19031157
707,"[94, 198]",1914.29204196,1915.99498632,1918.00799224
708,"[78, 152]",1644.63754906,1646.28516226,1648.83311679
709,"[68, 154]",1476.00906835,1477.00740455,1479.63419777
710,"[102, 184]",1994.31786452,1995.84340358,1997.81263218
711,"[76, 130]",1574.03692008,1575.77637062,1577.90833129
712,"[92, 164]",1839.80463799,1841.46262281,1843.9776535
713,"[46, 52]",836.10925117,837.39313142,839.36505013
714,"[70, 90]",1286.15090155,1287.76858992,1290.3306659
715,"[102, 166]",1926.3600322,1927.90011283,1930.69578485
716,"[100, 178]",1957.4792127,1958.91007732,1961.06222185
717,"[78, 126]",1586.93099088,1587.99028557,1589.71717775
718,"[80, 96]",1360.5381046,1361.47064943,1364.10229455
719,"[102, 156]",1879.18159907,1880.13236561,1883.08313922
720,"[94, 172]",1882.24670576,1883.96515317,1886.59760242
721,"[104, 176]",1980.86207778,1982.57787735,1985.03065138
722,"[70, 160]",1512.44640508,1513.26645879,1516.0187146
723,"[42, 78]",949.45772675,950.67383252,952.93604469
724,"[72, 122]",1500.01975447,1501.5966102,1504.34604528
725,"[36, 52]",757.36176687,758.80021914,761.50574009
726,"[66, 142]",1438.88114766,1440.56944434,1443.03134013
727,"[62, 86]",1216.12791371,1217.89013275,1220.34356944
728,"[60, 66]",1020.28487839,1021.04412907,1023.96699554
729,"[48, 126]",1067.32934985,1068.04120219,1070.6244244
730,"[90, 128]",1659.83792672,1661.59609313,1663.99721779
731,"[58, 62]",970.10198599,971.37314067,974.41346824
732,"[92, 174]",1866.41188273,1868.0730908,1870.51519094
733,"[18, 16]",276.34455881,277.07066292,279.95886378
734,"[86, 198]",1787.80639685,1788.72104162,1790.67826453
735,"[18, 24]",357.94063108,358.7285785,361.34746831
736,"[92, 168]",1850.58801849,1852.16401537,1854.87070224
737,"[80, 182]",1701.92495887,1703.25154417,1704.84387173
738,"[48, 98]",1083.33722912,1084.59543489,1087.08669849
739,"[28, 46]",620.97679653,621.06977449,624.075933
740,"[92, 146]",1772.18508671,1773.43148446,1775.70832794
741,"[66, 82]",1207.08447534,1208.50689109,1210.82454922
742,"[34, 82]",779.11161939,780.28197918,782.81243188
743,"[46, 100]",1041.56399912,1043.11294369,1045.78401328
744,"[50, 112]",1125.27642098,1126.30325337,1128.58478407
745,"[54, 90]",1166.1889388,1167.37101302,1169.94062571
746,"[76, 92]",1318.38677078,1319.95871698,1322.55930233
747,"[38, 56]",801.98709967,803.24649174,806.08679014
748,"[64, 102]",1330.13031828,1331.47568926,1334.36068222
749,"[82, 186]",1740.21620782,1740.60210131,1741.68974961
750,"[50, 74]",1046.35593559,1046.69805068,1049.07690387
751,"[54, 70]",1040.64727903,1042.20570451,1045.05299442
752,"[62, 90]",1243.54529043,1245.09355234,1247.78725614
753,"[74, 120]",1512.4277085,1513.99095393,1516.84777383
754,"[58, 128]",1292.94713722,1294.62780145,1296.67930939
755,"[52, 60]",937.48905162,938.10047516,940.89584483
756,"[56, 74]",1087.28817924,1088.03375715,1090.61013802
757,"[52, 92]",1145.10750959,1145.67813016,1148.27730939
758,"[48, 110]",1081.50788138,1082.60117136,1085.38877793
759,"[76, 150]",1613.09777222,1614.73936645,1617.06603113
760,"[94, 192]",1913.09531106,1915.00114173,1917.27039445
761,"[52, 104]",1164.09522763,1165.73887206,1168.48792233
762,"[78, 158]",1652.17708812,1654.18771278,1656.68689549
763,"[80, 162]",1686.10978147,1687.88435762,1690.50971277
764,"[92, 182]",1885.90709242,1887.28099417,1889.37554831
765,"[38, 58]",811.82462451,813.15177004,816.07712557
766,"[90, 142]",1739.618774,1740.57997246,1742.80130534
767,"[64, 148]",1397.63438139,1399.30276053,1401.81046738
768,"[70, 158]",1514.18972763,1515.37989904,1517.86938894
769,"[62, 106]",1322.3640772,1323.93324767,1326.70632349
770,"[50, 120]",1124.09513103,1124.60572276,1127.08274154
771,"[56, 106]",1236.21429396,1237.14558029,1240.13862267
772,"[38, 38]",634.28408822,635.1921479,638.66794725
773,"[66, 88]",1252.79083013,1254.81363417,1257.3462522
774,"[106, 166]",1949.18664007,1950.22016836,1953.05953498
775,"[44, 66]",926.33190411,927.75840574,930.43236468
776,"[106, 144]",1800.73082218,1801.59101281,1804.20255367
777,"[58, 80]",1150.1161223,1151.9010168,1153.94532272
778,"[106, 162]",1930.14865133,1930.62707586,1933.45403057
779,"[96, 142]",1769.88417789,1771.15017159,1774.24013533
780,"[108, 182]",2031.77471598,2033.27537223,2035.54779623
781,"[80, 114]",1521.26720455,1521.902198,1524.86943652
782,"[40, 56]",823.87222968,825.13970721,827.18743615
783,"[82, 112]",1512.74718957,1513.06159015,1516.15486668
784,"[54, 64]",983.60707468,985.02993828,988.12342601
785,"[90, 196]",1855.79926677,1857.2288381,1859.12128318
786,"[66, 120]",1416.73526388,1418.49090197,1421.13154264
787,"[48, 108]",1082.39180355,1083.70525042,1086.43700504
788,"[78, 186]",1656.40645296,1657.91343375,1659.28942021
789,"[46, 62]",920.37004699,921.29620925,923.78840726
790,"[94, 144]",1774.06149907,1774.61570363,1777.08371468
791,"[80, 142]",1648.63792025,1650.24161548,1652.56913417
792,"[100, 174]",1943.06458741,1944.80833099,1947.24126789
793,"[22, 26]",417.28179293,418.19265391,420.74097639
794,"[102, 176]",1966.30978771,1968.00387735,1970.45917073
795,"[18, 44]",401.43545855,402.55407702,405.19003062
796,"[56, 110]",1241.89555234,1242.56924376,1245.47514635
797,"[106, 174]",1984.94944465,1986.62227004,1989.03642416
798,"[72, 120]",1491.46441674,1493.12797345,1495.80081719
799,"[66, 136]",1436.33825636,1438.13697755,1440.46722107
800,"[26, 58]",599.38448284,600.89846319,602.71095739
801,"[76, 160]",1621.71399812,1623.27880201,1626.02183384
802,"[10, 12]",175.5828406,176.43220478,178.37782503
803,"[42, 52]",812.73321534,813.80832351,816.13267218
804,"[32, 34]",565.09120353,566.32957871,569.41952988
805,"[64, 134]",1400.93784813,1402.96014886,1405.45068483
806,"[48, 112]",1080.30048023,1081.09533621,1083.90457799
807,"[62, 104]",1315.78673096,1317.31821573,1320.19475023
808,"[74, 148]",1580.2264896,1581.8462006,1584.28049534
809,"[20, 44]",456.94964066,457.18551148,458.61316963
810,"[100, 156]",1869.16847123,1870.46659637,1872.94738342
811,"[44, 80]",991.93221493,993.23458285,995.03117365
812,"[60, 126]",1334.33873864,1335.46185965,1337.69334096
813,"[46, 104]",1039.49673395,1040.72729929,1043.47224921
814,"[84, 184]",1775.63740717,1776.32631094,1777.8589475
815,"[100, 186]",1978.48952163,1980.38631619,1982.03350351
816,"[106, 148]",1834.31981696,1835.24053428,1837.81453536
817,"[56, 84]",1162.1985777,1163.67368365,1165.87805368
818,"[106, 176]",1993.97219019,1995.71101507,1998.17605304
819,"[64, 78]",1156.6674883,1158.33532185,1161.15549681
820,"[60, 124]",1329.78315622,1331.59470891,1333.95508144
821,"[52, 124]",1168.32721625,1169.65854994,1171.7609079
822,"[24, 20]",351.95159336,352.43038137,354.41761354
823,"[48, 80]",1057.39172946,1058.59646372,1060.42392353
824,"[66, 72]",1093.81435494,1095.07789342,1098.14849391
825,"[90, 164]",1819.5144837,1820.93764845,1823.38401087
826,"[86, 158]",1759.41776166,1761.30831564,1763.76977585
827,"[108, 148]",1834.1709624,1834.82065665,1837.52636567
828,"[60, 90]",1228.33726771,1229.24504469,1232.21733523
829,"[46, 80]",1025.76815872,1027.10440031,1028.81854221
830,"[98, 132]",1699.37041353,1701.06836909,1704.4893622
831,"[86, 122]",1606.97099369,1608.35718848,1610.59931257
832,"[108, 184]",2039.85104419,2041.45165987,2043.50093827
833,"[40, 48]",762.67990303,763.3804506,765.34183267
834,"[72, 124]",1509.07261789,1510.31150117,1512.92005626
835,"[80, 134]",1629.58010749,1630.99509842,1633.02182286
836,"[26, 22]",385.57689311,386.16998595,388.51957033
837,"[62, 84]",1203.29708967,1205.11441828,1207.86551987
838,"[80, 118]",1551.40042963,1552.01479107,1554.96243458
839,"[28, 48]",630.5853161,630.75477285,633.60959512
840,"[28, 40]",588.07491061,589.53870636,590.86591337
841,"[86, 152]",1743.52324,1745.04486426,1747.48776198
842,"[68, 152]",1476.81205018,1477.95942862,1480.48745075
843,"[62, 102]",1308.3588094,1309.69174541,1312.67245946
844,"[14, 12]",203.55039909,203.51625983,207.97595632
845,"[66, 100]",1338.71153192,1339.66042063,1342.46718477
846,"[96, 126]",1653.04213135,1654.48664585,1656.73031399
847,"[78, 106]",1448.48583307,1450.13797006,1453.0017374
848,"[72, 132]",1526.60258704,1528.56039808,1530.61831531
849,"[52, 116]",1167.00533386,1168.27393597,1170.92042256
850,"[66, 122]",1421.92039045,1423.57923508,1426.19125019
851,"[38, 72]",859.96658059,860.90537128,863.93783003
852,"[46, 72]",984.69421369,985.55110042,987.56570686
853,"[102, 182]",1987.40792447,1989.17141381,1991.35568431
854,"[52, 120]",1167.42781162,1168.74087272,1171.34762881
855,"[82, 164]",1719.25806429,1719.92773437,1722.47334004
856,"[62, 72]",1089.36738316,1091.00569771,1094.00207594
857,"[76, 94]",1337.3611632,1338.75356376,1341.52432607
858,"[68, 86]",1244.43107433,1246.22324674,1248.66439175
859,"[58, 120]",1287.34882558,1288.82539919,1291.48653328
860,"[40, 60]",846.1453006,847.38123508,850.15123596
861,"[62, 112]",1339.3563374,1341.04767186,1344.10892186
862,"[58, 116]",1283.360015,1284.80080445,1287.6773886
863,"[48, 88]",1076.69167658,1078.11244551,1080.08864802
864,"[94, 168]",1870.40715739,1872.15227279,1874.95105045
865,"[48, 118]",1075.17434881,1075.92747419,1078.39158081
866,"[74, 90]",1296.94440587,1298.29361898,1300.37533126
867,"[96, 150]",1816.92705267,1818.18760115,1820.51977173
868,"[56, 90]",1190.62185705,1191.12765468,1193.98698248
869,"[92, 178]",1876.54361105,1878.32530579,1880.56991426
870,"[108, 196]",2069.22431096,2070.84849755,2074.18172655
871,"[72, 180]",1529.21832873,1531.18217293,1533.62895815
872,"[32, 52]",705.93273774,707.11558051,709.71670978
873,"[66, 140]",1437.99790931,1439.7771782,1443.55444681
874,"[60, 70]",1064.46896603,1065.29124734,1068.10810308
875,"[34, 74]",779.79427898,780.62143832,783.66577768
876,"[58, 118]",1285.27624292,1286.72213121,1289.5187671
877,"[80, 128]",1613.03534259,1614.07923941,1615.6004767
878,"[66, 70]",1069.73664612,1070.74958679,1074.08710001
879,"[96, 128]",1666.33426658,1668.2266212,1670.88723792
880,"[52, 72]",1045.16789931,1045.88912685,1048.62138967
881,"[104, 148]",1832.91051785,1833.48247791,1836.10031277
882,"[94, 170]",1876.37250584,1878.08261807,1880.82360844
883,"[44, 68]",937.69258703,939.17654563,941.79703911
884,"[74, 124]",1532.72587223,1533.88637118,1536.48876272
885,"[72, 144]",1543.86320409,1545.46781977,1547.97279627
886,"[58, 92]",1219.87086229,1220.93503162,1223.58285327
887,"[38, 68]",850.63000967,851.55803243,854.36973364
888,"[44, 74]",966.39039601,967.82609713,970.01978992
889,"[46, 88]",1040.4208556,1041.92970356,1043.85855732
890,"[110, 160]",1926.9354127,1927.88500441,1930.70842582
891,"[56, 64]",989.73694657,991.01888792,994.05322529
892,"[90, 192]",1857.76422947,1859.51689629,1861.72216219
893,"[70, 82]",1215.0416982,1216.51711286,1218.73525308
894,"[26, 54]",600.256227,601.58148802,603.47967028
895,"[58, 66]",1016.47879675,1017.86044262,1020.87115877
896,"[24, 56]",551.09763938,552.55622776,554.49690864
897,"[96, 156]",1844.56651057,1846.00434698,1848.57438674
898,"[58, 84]",1177.70275663,1179.34017754,1181.57555882
899,"[92, 140]",1741.56633649,1742.09402287,1744.62835701
900,"[74, 174]",1579.67959479,1581.35808413,1583.83992935
901,"[92, 170]",1855.99813978,1857.54201287,1860.24820817
902,"[42, 62]",880.38087536,881.49592686,884.19658632
903,"[66, 76]",1138.83198933,1140.38683555,1143.23322904
904,"[20, 36]",448.0691448,448.66105588,449.95223223
905,"[102, 148]",1828.93779711,1829.78956333,1832.99510399
906,"[72, 130]",1523.55506778,1525.56098812,1527.66675477
907,"[104, 160]",1910.38441352,1910.82739843,1913.4186967
908,"[104, 164]",1929.99788036,1931.24374478,1933.89999471
909,"[98, 176]",1932.90753542,1934.65345481,1936.95182806
910,"[78, 130]",1597.12190155,1598.57706246,1600.62474371
911,"[50, 122]",1123.72852532,1124.29125082,1126.53278454
912,"[86, 190]",1799.05639913,1800.53054664,1802.40417086
913,"[52, 112]",1167.04636232,1168.63181622,1171.32865685
914,"[84, 126]",1633.37074207,1634.06379077,1635.72244704
915,"[60, 92]",1240.7325942,1241.24185547,1244.153978
916,"[106, 150]",1850.29013919,1851.34871233,1853.77867002
917,"[64, 70]",1069.36930524,1070.83334239,1074.1566175
